Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
22 SEP 2026,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,22 SEP 2026,               5.00,          35286502,            216.45,     7637763357.90 
22 SEP 2026,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,22 SEP 2026,              10.00,          10500000,             39.60,      416010000.00
22 SEP 2026,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,22 SEP 2026,               1.00,         406486596,           1073.50,   436363360806.00    
22 SEP 2026,3BBLACKBIO,EQ,3B BLACKBIO DX LTD.      ,Permitted ,22 SEP 2026,              10.00,           8582670,           1369.30,    11752250031.00
22 SEP 2026,3IINFOLTD,BE,3I INFOTECH LIMITED      ,Listed    ,22 SEP 2026,              10.00,         207403767,             26.05,     5398720055.00 
22 SEP 2026,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,22 SEP 2026,              10.00,          11265070,          34220.00,   385490695400.00   
22 SEP 2026,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,22 SEP 2026,               2.00,          18000000,             30.75,      553320000.00    
22 SEP 2026,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,22 SEP 2026,              10.00,          46882257,            315.30,    14781975632.10    
22 SEP 2026,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,22 SEP 2026,               2.00,          46078537,            841.75,    38786608519.75   
22 SEP 2026,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,22 SEP 2026,              10.00,         177522358,             14.75,     2614904333.35  
22 SEP 2026,AAATECH,EQ,AAA TECHNOLOGIES LIMITED ,Listed    ,22 SEP 2026,              10.00,          12826800,             93.75,     1202255964.00   
22 SEP 2026,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,22 SEP 2026,              10.00,         437298899,            457.85,   200217300907.15 
22 SEP 2026,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,21 SEP 2026,              10.00,          14172816,             67.50,      956665080.00    
22 SEP 2026,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,22 SEP 2026,               1.00,         101250000,              8.95,      907200000.00    
22 SEP 2026,AARADHYA,ST,AARADHYA DISPOSAL INDUS L,Listed    ,22 SEP 2026,              10.00,          14138000,            141.95,     2006889100.00  
22 SEP 2026,AAREYDRUGS,EQ,AAREY DRUGS & PHARM LTD  ,Listed    ,22 SEP 2026,              10.00,          28354303,            102.50,     2906883143.55
22 SEP 2026,AARNAV,BE,AARNAV FASHIONS LIMITED  ,Listed    ,22 SEP 2026,              10.00,          42238628,             31.85,     1344455529.25    
22 SEP 2026,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,22 SEP 2026,              10.00,          20946478,            120.50,     2523631669.45     
22 SEP 2026,AARTECH,BE,AARTECH SOLONICS LIMITED ,Listed    ,22 SEP 2026,               5.00,          31770375,             51.60,     1638715942.50   
22 SEP 2026,AARTIDRUGS,EQ,AARTI DRUGS LTD.         ,Listed    ,22 SEP 2026,              10.00,          91270000,            425.75,    38858202500.00
22 SEP 2026,AARTIIND,EQ,AARTI INDUSTRIES LTD     ,Listed    ,22 SEP 2026,               5.00,         362594491,            496.00,   179846867536.00  
22 SEP 2026,AARTIPHARM,EQ,AARTI PHARMALABS LIMITED ,Listed    ,22 SEP 2026,               5.00,          90657751,            883.75,    80118787446.25
22 SEP 2026,AARTISURF,BE,AARTI SURFACTANTS LIMITED,Listed    ,22 SEP 2026,              10.00,           8464995,            514.75,     4357356176.25 
22 SEP 2026,AARVI,EQ,AARVI ENCON LIMITED      ,Listed    ,22 SEP 2026,              10.00,          14844100,            138.20,     2051157738.00     
22 SEP 2026,AASTHA,EQ,AASTHA SPINTEX LIMITED   ,Listed    ,22 SEP 2026,              10.00,          44142190,             81.60,     3602885547.80    
22 SEP 2026,AATMAJ,SM,AATMAJ HEALTHCARE LIMITED,Listed    ,22 SEP 2026,               5.00,          22600000,             19.25,      435050000.00    
22 SEP 2026,AAVAS,EQ,AAVAS FINANCIERS LIMITED ,Listed    ,22 SEP 2026,              10.00,          79287782,           1313.10,   104112786544.20     
22 SEP 2026,ABAN,BE,ABAN OFFSHORE LTD.       ,Listed    ,22 SEP 2026,               2.00,          58365323,             14.15,      824702014.00      
22 SEP 2026,ABANSENT,EQ,ABANS ENTERPRISES LTD.   ,Permitted ,22 SEP 2026,               2.00,          69748880,             27.30,     1903446935.20  
22 SEP 2026,ABB,EQ,ABB INDIA LIMITED        ,Listed    ,22 SEP 2026,               2.00,         211908375,           7120.50,  1508893584187.50       
22 SEP 2026,ABBOTINDIA,EQ,ABBOTT INDIA LIMITED     ,Permitted ,22 SEP 2026,              10.00,          21249302,          27225.00,   578512246950.00
22 SEP 2026,ABCAPITAL,EQ,ADITYA BIRLA CAPITAL LTD.,Listed    ,22 SEP 2026,              10.00,        2621853064,            397.00,  1040875666408.00 
22 SEP 2026,ABCOTS,EQ,A B COTSPIN INDIA LIMITED,Listed    ,22 SEP 2026,              10.00,          21963620,            205.25,     4508033005.00    
22 SEP 2026,ABDL,EQ,ALLIED BLEND N DISTILS L ,Listed    ,22 SEP 2026,               2.00,         279710151,            647.90,   181224206832.90      
22 SEP 2026,ABFRL,EQ,ADITYA BIRLA FASHION & RT,Listed    ,22 SEP 2026,              10.00,        1220510115,             49.20,    60073507860.30     
22 SEP 2026,ABH,SM,ABH HEALTHCARE LIMITED   ,Listed    ,22 SEP 2026,              10.00,          11429600,             52.85,      604054360.00       
22 SEP 2026,ABHAPOWER,SM,ABHA POWER N STEEL LTD   ,Listed    ,22 SEP 2026,              10.00,          18587830,             24.00,      446107920.00 
22 SEP 2026,ABINFRA,BE,A B INFRABUILD LIMITED   ,Listed    ,22 SEP 2026,               1.00,         638789360,             12.25,     7825169660.00   
22 SEP 2026,ABLBL,EQ,ADITYA BIRLA LIFES BRAN L,Listed    ,22 SEP 2026,              10.00,        1220521649,             80.75,    98544917940.25     
22 SEP 2026,ABMINTLLTD,BE,ABM INTERNATIONAL LTD    ,Listed    ,22 SEP 2026,              10.00,           9408000,             48.00,      451772160.00
22 SEP 2026,ABMKNO,EQ,A B M KNOWLEDGEWARE LTD. ,Permitted ,22 SEP 2026,               5.00,          20002200,            173.35,     3467181348.00    
22 SEP 2026,ABREL,EQ,ADITYA BIRLA REAL EST LTD,Listed    ,22 SEP 2026,              10.00,         111695680,           1201.10,   134157681248.00     
22 SEP 2026,ABSLAMC,EQ,ADIT BIRL SUN LIF AMC LTD,Listed    ,22 SEP 2026,               5.00,         289175042,           1027.00,   296982768134.00   
22 SEP 2026,ABSMARINE,SM,ABS MARINE SERVICES LTD  ,Listed    ,22 SEP 2026,              10.00,          24550000,            301.05,     7390777500.00 
22 SEP 2026,ACC,EQ,ACC LIMITED              ,Listed    ,22 SEP 2026,              10.00,         187787263,           1238.20,   232518189046.60       
22 SEP 2026,ACCELYA,EQ,ACCELYA SOLN INDIA LTD   ,Listed    ,22 SEP 2026,              10.00,          14926261,           1118.80,    16699500806.80   
22 SEP 2026,ACCENTMIC,SM,ACCENT MICROCELL LIMITED ,Listed    ,22 SEP 2026,              10.00,          23989020,            676.55,    16229771481.00 
22 SEP 2026,ACCORD,ST,ACCORD SYNERGY LIMITED   ,Listed    ,04 SEP 2026,              10.00,           3872000,            188.45,      729678400.00    
22 SEP 2026,ACCPL,ST,ACCRETION PHARMA LIMITED ,Listed    ,22 SEP 2026,              10.00,          11116000,            214.95,     2389384200.00     
22 SEP 2026,ACCURACY,BE,ACCURACY SHIPPING LIMITED,Listed    ,22 SEP 2026,               1.00,         150560000,              4.35,      657947200.00  
22 SEP 2026,ACE,EQ,ACTION CONST EQUIP LTD   ,Listed    ,22 SEP 2026,               2.00,         119083196,           1241.90,   147889421112.40       
22 SEP 2026,ACEINTEG,EQ,ACE INTEGRATED SOLU. LTD.,Listed    ,22 SEP 2026,              10.00,          10200000,             17.30,      176562000.00  
22 SEP 2026,ACETEC,SM,ACETECH E-COMMERCE LTD   ,Listed    ,21 SEP 2026,              10.00,          16383735,            153.00,     2506711455.00    
